Quarter Adjusted2 ,Retail Sales (millions of dollars) Total,E-commerce,E-commerce as a Percent of Total,Percent Change From Prior Quarter (Total),Percent Change From Prior Quarter (E-commerce),Percent Change From Same Quarter  A Year Ago (Total),Percent Change From Same Quarter  A Year Ago (E-commerce)
2nd quarter 2016(p),1201908,97250,8.1,1.5,4.5,2.3,15.8
1st quarter 2016(r),1183779,93046,7.9,-0.3,4,2.2,15.5
4th quarter 2015,1186748,89454,7.5,0.1,2.1,1.4,15.1
3rd quarter 2015,1185288,87588,7.4,0.9,4.3,1.6,15.2
2nd quarter 2015(r) ,1174911,83987,7.1,1.4,4.2,1.2,14.2
Not Adjusted,,,,,,,
2nd quarter 2016(p),1215205,91242,7.5,8.8,5.7,2.1,15.8
1st quarter 2016(r),1116632,86351,7.7,-10.6,-20.2,3.3,15.2
4th quarter 2015,1249081,108175,8.7,5.1,33.5,1.7,14.8
3rd quarter 2015,1188363,81020,6.8,-0.1,2.8,1.6,15.4
2nd quarter 2015,1189836,78784,6.6,10.1,5.1,1.1,14.7
